60,0,750,0
120,0,750,150
120,0,750,-150
240,1,750,0
360,2,750,200
600,0,750,0
620,0,750,100
620,0,750,-100
640,0,750,200
640,0,750,-200
780,0,750,200
780,0,750,-200
800,0,750,100
800,0,750,-100
820,0,750,0
1000,0,750,150
1400,1,750,150
1400,1,750,-150
1460,2,750,0
1600,1,750,0
1630,0,750,100
1630,0,750,-100
2000,2,750,250
2060,2,750,150
2120,2,750,-150
2180,2,750,-250
2400,0,750,200
2430,0,750,100
2460,0,750,0
2490,0,750,-100
2520,0,750,-200
2800,1,750,200
2860,1,750,0
2920,1,750,-200
3060,2,750,-200
3140,2,750,200
3300,0,750,250
3300,0,750,-250
3340,0,750,150
3340,0,750,-150
3380,0,750,50
3380,0,750,-50
3600,0,750,0
3800,0,750,200
3840,0,750,0
3880,0,750,-200
3920,0,750,0
3960,0,750,200
4200,1,750,150
4200,1,750,-150
4300,2,750,0
4360,2,750,0
4460,2,750,250
4500,2,750,-250
4800,1,750,-200
4860,1,750,0
4920,1,750,200
5060,2,750,200
5140,2,750,-200
5500,0,750,250
5500,0,750,150
5560,0,750,50
5560,0,750,-50
5620,0,750,-150
5620,0,750,-250
6200,0,750,200
6200,0,750,-200
6260,0,750,100
6260,0,750,-100
6320,1,750,0
6420,2,750,150
6420,2,750,-150
7000,0,750,200
7000,0,750,100
7000,0,750,0
7000,0,750,-100
7000,0,750,-200
7150,2,750,250
7190,2,750,-250
7300,1,750,150
7300,1,750,-150
7450,2,750,0
7600,1,750,200
7600,1,750,-200
7660,2,750,0
7720,2,750,100
7780,2,750,-100
8000,0,750,250
8000,0,750,-250
8040,0,750,150
8040,0,750,-150
8080,0,750,50
8080,0,750,-50
8300,1,750,100
8300,1,750,-100
8400,2,750,250
8460,2,750,-250
8650,0,750,200
8680,0,750,100
8710,0,750,0
8740,0,750,-100
8770,0,750,-200
8800,0,750,-100
8830,0,750,0
8860,0,750,100
8890,0,750,200
9050,1,750,150
9050,1,750,-150
9150,2,750,150
9200,2,750,-150
9400,1,750,0
9450,0,750,200
9450,0,750,-200
9500,0,750,100
9500,0,750,-100
9700,2,750,250
9750,2,750,150
9800,2,750,0
9850,2,750,-150
9900,2,750,-250
10100,1,750,200
10100,1,750,-200
10160,1,750,100
10160,1,750,-100
10350,0,750,250
10350,0,750,-250
10400,0,750,150
10400,0,750,-150
10550,1,750,80
10550,1,750,-80
10680,2,750,0
