// ===================================
// ステージ1 開始
// 出現時間(フレーム)
// 敵タイプ: 0=Normal, 1=Hard, 2=Assault
// X座標
// Y座標
// ===================================
// Normal X:192,Y:150
// Hard	  X:192,Y:159
// Assult X:192,Y:74
// 
// 1280 × 720
// 
60,0,750,0
120,0,750,150
120,0,750,-150
240,1,750,0
360,2,750,200
600,0,750,0
620,0,750,100
620,0,750,-100
640,0,750,200
640,0,750,-200
780,0,750,200
780,0,750,-200
800,0,750,100
800,0,750,-100
820,0,750,0
1000,0,750,150
1400,1,750,150
1400,1,750,-150
1460,2,750,0
1600,1,750,0
1630,0,750,100
1630,0,750,-100

// ★調整1：突撃の間隔を広げ、上から下へスイープできるように！
2000,2,750,250
2060,2,750,150
2120,2,750,-150
2180,2,750,-250

2400,0,750,200
2430,0,750,100
2460,0,750,0
2490,0,750,-100
2520,0,750,-200

// ★調整2：Hardを階段状に出し、最後にAssaultを処理する完璧なルート！
// 上→中→下と順番にHardを倒して降りていく
2800,1,750,200
2860,1,750,0
2920,1,750,-200
// 下のHardを倒し終わった直後、そのまま下でAssaultを待ち伏せ撃破！
3060,2,750,-200
// すぐに上にダッシュして、上のAssaultを撃破！
3140,2,750,200

// ※前の時間が延びた分、最後のウェーブも少し後ろにズラしました
3300,0,750,250
3300,0,750,-250
3340,0,750,150
3340,0,750,-150
3380,0,750,50
3380,0,750,-50
3600,0,750,0
